method_id,scale,training_seeds,evaluation_episodes,replicate_unit,makespan,makespan_ci95_lower,makespan_ci95_upper,completion_rate,completion_rate_ci95_lower,completion_rate_ci95_upper,deadline_completion_rate,deadline_completion_rate_ci95_lower,deadline_completion_rate_ci95_upper,mission_success,mission_success_ci95_lower,mission_success_ci95_upper,deadline_remaining_tasks,deadline_remaining_tasks_ci95_lower,deadline_remaining_tasks_ci95_upper,throughput,throughput_ci95_lower,throughput_ci95_upper,invalid_actions,invalid_actions_ci95_lower,invalid_actions_ci95_upper,communication_events,communication_events_ci95_lower,communication_events_ci95_upper,heartbeat_messages,heartbeat_messages_ci95_lower,heartbeat_messages_ci95_upper,reallocated_tasks,reallocated_tasks_ci95_lower,reallocated_tasks_ci95_upper,reallocation_successes,reallocation_successes_ci95_lower,reallocation_successes_ci95_upper,reallocation_success_rate,reallocation_success_rate_ci95_lower,reallocation_success_rate_ci95_upper,return,return_ci95_lower,return_ci95_upper
gppo_periodic,2x12,5,500,training_seed,18.801457739182673,17.979411471869575,19.62350400649577,0.9056680564533506,0.9030099423670626,0.9083261705396386,0.7574238095238094,0.7454956070755658,0.7693520119720529,0.088,0.06411994505868968,0.11188005494131031,3.0699999999999994,2.9137035575580805,3.2262964424419183,0.6782857142857143,0.6677821847875709,0.6887892437838576,3.5159999999999996,2.621214628139239,4.410785371860761,8.278,7.840359395960567,8.715640604039434,9.622,9.529346451422517,9.714653548577482,0.256,0.2492002164740339,0.2627997835259661,0.084,0.07289600000000002,0.095104,0.328,0.28682748094539545,0.3691725190546046,-7.740808957733677,-8.562855225046775,-6.918762690420578
gppo_periodic,3x16,5,500,training_seed,21.22239565282332,18.843426473394608,23.60136483225203,0.9396085937883927,0.9367622712918323,0.942454916284953,0.7323545751633986,0.7244760696079388,0.7402330807188585,0.01,-0.002414649411078832,0.022414649411078832,4.426,4.289551763602456,4.562448236397544,0.932,0.9218350309127682,0.9421649690872319,5.634,3.058886277257644,8.209113722742357,9.726,8.524065729743928,10.927934270256074,25.892000000000003,25.54645768574023,26.237542314259777,0.29000000000000004,0.26517070117784236,0.3148292988221577,0.14,0.12244303443074517,0.15755696556925486,0.4831376426482099,0.43376997926542255,0.5325053060309972,-8.821363047806894,-11.200332227235606,-6.442393868378184
gppo_periodic,3x20,5,500,training_seed,24.721691137647998,22.497435219728516,26.94594705556748,0.9330122153209108,0.9304129194596122,0.9356115111822094,0.799645266327875,0.782772894739324,0.8165176379164261,0.07200000000000001,0.05581327753990946,0.08818672246009056,4.168,3.8114811829033424,4.5245188170966575,0.9193333333333333,0.9000376740709404,0.9386289925957263,5.932,3.8837822436703666,7.980217756329634,11.23,10.101119880093552,12.358880119906448,28.612000000000002,27.745265403261183,29.47873459673882,0.294,0.27144766938873055,0.3165523306112694,0.11199999999999999,0.08369024366053285,0.14030975633946713,0.37847926267281107,0.3092131510830861,0.447745374262536,-12.03524746081482,-14.259503378734303,-9.810991542895335
gppo_periodic,4x24,5,500,training_seed,21.702953822583844,21.241301053299782,22.164606591867905,0.9703333333333333,0.9681265539807221,0.9725401126859444,0.8215000000000001,0.8143548326821551,0.8286451673178451,0.032,0.0184004329480678,0.0455995670519322,4.284,4.11251598437172,4.455484015628279,1.23225,1.2215322490232325,1.2429677509767676,2.7,2.007055682929718,3.3929443170702824,10.104,9.90428228176749,10.303717718232509,46.492,46.191550094584805,46.79244990541519,0.202,0.18581327753990945,0.21818672246009058,0.122,0.10581327753990943,0.13818672246009056,0.6031875142401458,0.556840916752734,0.6495341117275577,-8.888591173900195,-9.350243943184257,-8.426938404616134
greedy_event,2x12,0,100,episode,17.576010212403602,16.859232620129628,18.292787804677577,0.9022847985347986,0.8607301302728232,0.943839466796774,0.7603150183150182,0.7218123811410577,0.7988176554889788,0.12,0.05598666805526628,0.1840133319447337,3.03,2.5415228512525023,3.5184771487474973,0.6814285714285714,0.6470538332293847,0.7158033096277581,0.11,0.013919402519961321,0.20608059748003868,14.99,14.219733878861508,15.760266121138493,9.82,8.533872824046053,11.106127175953947,0.23,0.14710129340239647,0.31289870659760355,0.04,0.0013985084288812566,0.07860149157111875,0.17391304347826086,0.06978540350612772,0.37138054785295666,-6.515361430954605,-7.1875536991932325,-5.843169162715977
greedy_event,3x16,0,100,episode,19.090324136015393,18.26965352283253,19.910994749198256,0.9375980392156862,0.9004721393376955,0.9747239390936768,0.7306862745098041,0.6959459519656404,0.7654265970539678,0.0,0.0,0.0,4.46,3.8928814863850336,5.027118513614966,0.9292307692307691,0.885592585697305,0.9728689527642331,0.18,0.0743588999479747,0.28564110005202525,19.74,18.79133840244971,20.688661597550286,25.69,23.538649439364317,27.841350560635686,0.28,0.17924714907409836,0.3807528509259017,0.14,0.0661888404594043,0.2138111595405957,0.5,0.3263284683244634,0.6736715316755366,-6.689291530998969,-7.472610409132544,-5.905972652865394
greedy_event,3x20,0,100,episode,23.143422099050586,22.09002709243878,24.19681710566239,0.938171277997365,0.9059034033760389,0.9704391526186911,0.8205899680030115,0.7881921692767323,0.8529877667292908,0.1,0.04090377646275834,0.15909622353724168,3.73,3.0614867138662287,4.398513286133771,0.9433333333333336,0.9064810130818394,0.9801856535848278,0.46,0.18503492526643983,0.7349650747335602,23.92,22.920328186378402,24.9196718136216,28.3,25.54759871964846,31.052401280351543,0.29,0.18467158431118813,0.39532841568881183,0.14,0.07164792274812373,0.2083520772518763,0.4827586206896552,0.3138581933079522,0.6556926202943085,-10.45697842221741,-11.478295496714647,-9.435661347720174
greedy_event,4x24,0,100,episode,21.977036840028838,21.14750572266758,22.806567957390094,0.9725000000000001,0.9479253214458835,0.9970746785541168,0.8112499999999998,0.7826412234452501,0.8398587765547495,0.03,-0.003603535167561997,0.063603535167562,4.53,3.8433893626860076,5.216610637313993,1.216875,1.1739618351678753,1.2597881648321245,0.39,0.14255526808288013,0.6374447319171199,28.0,27.147702143400775,28.852297856599225,47.35,43.650581126717334,51.04941887328267,0.21,0.12506666666666666,0.2949333333333333,0.13,0.06375245687803231,0.19624754312196768,0.6190476190476191,0.40878295815501514,0.7924923220201749,-9.162674191345195,-9.947804713629061,-8.377543669061328
ppo_event,2x12,5,500,training_seed,17.83855174667493,17.564805774546326,18.112297718803536,0.9021444624003447,0.8994348993279927,0.9048540254726968,0.7518630036630036,0.7434297381739494,0.7602962691520578,0.094,0.06825643505650394,0.11974356494349606,3.136,3.025795946644418,3.2462040533555823,0.6735714285714287,0.6660470147560338,0.6810958423868236,0.128,0.11181327753990944,0.14418672246009057,15.068000000000001,14.923648000000002,15.212352000000001,9.725999999999999,9.626064,9.825935999999999,0.22599999999999998,0.19741933072862008,0.2545806692713799,0.06000000000000001,0.047585350588921174,0.07241464941107885,0.2660795367866306,0.21631021856698426,0.3158488550062769,-6.777902965225932,-7.0516489373545355,-6.504156993097329
ppo_event,3x16,5,500,training_seed,18.924939297867308,18.400155055379738,19.449723540354878,0.9412369281045752,0.9384600828385963,0.944013773370554,0.7352287581699348,0.7165870005081967,0.753870515831673,0.016,0.0092002164740339,0.0227997835259661,4.378,4.071707677823945,4.684292322176055,0.9355384615384615,0.9119775136787651,0.959099409398158,0.17600000000000002,0.1517993930654622,0.20020060693453784,19.764000000000003,19.658074591074666,19.86992540892534,25.566,25.09394938278189,26.038050617218108,0.268,0.25181327753990945,0.2841867224600906,0.11399999999999999,0.102896,0.125104,0.42609768009768006,0.37772076273518596,0.4744745974601742,-6.523906692850886,-7.048690935338454,-5.999122450363318
ppo_event,3x20,5,500,training_seed,23.447850383981567,23.0675500475261,23.828150720437034,0.9346769809900245,0.9299897878355542,0.9393641741444948,0.8015061358930924,0.7855730724492082,0.8174391993369766,0.064,0.045172251966844254,0.08282774803315575,4.1259999999999994,3.7932734990776957,4.458726500922303,0.9215555555555557,0.9027784062379988,0.9403327048731126,0.532,0.4089758980361978,0.6550241019638022,24.028,23.92775603008659,24.128243969913406,28.606,28.265603081189035,28.94639691881097,0.30200000000000005,0.2858132775399095,0.3181867224600906,0.134,0.11984512183026644,0.14815487816973358,0.44542242703533025,0.37624907202877417,0.5145957820418864,-10.761406707148385,-11.14170704360385,-10.38110637069292
ppo_event,4x24,5,500,training_seed,21.926285978015784,21.707205587770567,22.145366368261,0.9716666666666667,0.9703996018169713,0.9729337315163621,0.8109999999999999,0.8037525810418084,0.8182474189581915,0.03,0.010370715754261444,0.04962928424573855,4.536,4.362061945003401,4.709938054996599,1.2165,1.2056288715627124,1.2273711284372875,0.306,0.23120238121437287,0.3807976187856271,27.85,27.776031189275482,27.92396881072452,47.454,47.165429492400904,47.7425705075991,0.196,0.184896,0.207104,0.11599999999999999,0.1092002164740339,0.12279978352596609,0.5921804511278196,0.5618073046233375,0.6225535976323017,-9.111923329332138,-9.331003719577357,-8.892842939086918
ppo_none,2x12,5,500,training_seed,87.35064882140271,85.13120876864029,89.57008887416514,0.728008002411731,0.7198188093704438,0.7361971954530182,0.7102421245421245,0.6984987900399408,0.7219854590443083,0.07600000000000001,0.057172251966844265,0.09482774803315576,3.6680000000000006,3.514589891128388,3.8214101088716133,0.6351428571428571,0.6245128193638239,0.6457728949218904,85.2,82.57812715048193,87.82187284951807,0.0,0.0,0.0,11.758,11.518329735044166,11.997670264955833,0.21999999999999997,0.1984971964618564,0.24150280353814355,0.0,0.0,0.0,0.0,0.0,0.0,-76.2900000399537,-78.50944009271612,-74.07055998719127
ppo_none,3x16,5,500,training_seed,89.29158926753875,86.49781944671636,92.08535908836114,0.7694023857306601,0.7567202904335698,0.7820844810277504,0.6950669934640523,0.6740519843657079,0.7160820025623967,0.008,-0.002386840905684459,0.01838684090568446,5.046,4.698101738641884,5.393898261358117,0.8843076923076924,0.857461227921567,0.9111541566938177,88.91600000000001,85.86061378787952,91.9713862121205,0.0,0.0,0.0,34.148,33.22203025618328,35.073969743816725,0.236,0.2048394772829466,0.2671605227170534,0.0,0.0,0.0,0.0,0.0,0.0,-76.89055666252231,-79.68432648334472,-74.09678684169991
ppo_none,3x20,5,500,training_seed,105.54640876182646,102.26566512614284,108.82715239751008,0.8059533126293994,0.7999962412307651,0.8119103840280337,0.7483742706568794,0.7266442881044468,0.7701042532093121,0.032,0.015813277539909448,0.04818672246009055,5.236,4.779383861590504,5.6926161384094955,0.8604444444444445,0.8355319459361469,0.885356942952742,104.20800000000001,100.8809503921847,107.53504960781532,0.0,0.0,0.0,40.977999999999994,39.662767643561025,42.29323235643896,0.262,0.256448,0.267552,0.0,0.0,0.0,0.0,0.0,0.0,-92.85996508499329,-96.14070872067691,-89.57922144930967
