method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
gppo_event_single_head,2x12,2,100,17.310033568449427,0.9073122710622711,0.7755164835164834,0.13,2.84,0.695,0.12,15.0,9.49,0.25,0.08,0.32,-6.249384787000426
gppo_event_single_head,2x12,3,100,17.725890129899707,0.9050969618616677,0.7610604395604395,0.09,3.02,0.682142857142857,0.13,15.16,9.67,0.25,0.07,0.28,-6.665241348450712
gppo_event_single_head,2x12,4,100,17.452290156109157,0.905709706959707,0.766058608058608,0.08,2.96,0.6864285714285714,0.09,15.01,9.59,0.25,0.07,0.28,-6.391641374660161
gppo_event_single_head,2x12,5,100,17.494512673974647,0.9050969618616677,0.769456043956044,0.12,2.91,0.69,0.09,15.09,9.62,0.25,0.08,0.32,-6.4338638925256495
gppo_event_single_head,3x16,1,100,18.632343212243946,0.942859477124183,0.7428553921568627,0.02,4.25,0.9453846153846154,0.21,19.74,25.48,0.24,0.11,0.4583333333333333,-6.23131060722752
gppo_event_single_head,3x16,2,100,18.55026886008425,0.9404656862745098,0.7434395424836602,0.02,4.24,0.946153846153846,0.23,19.75,25.14,0.29,0.12,0.41379310344827586,-6.149236255067825
gppo_event_single_head,3x16,3,100,18.700722503771086,0.9422712418300654,0.7466952614379087,0.02,4.19,0.95,0.19,19.85,25.28,0.29,0.13,0.4482758620689655,-6.299689898754663
gppo_event_single_head,3x16,4,100,18.608107241311576,0.9422344771241831,0.7370792483660129,0.01,4.34,0.9384615384615383,0.18,19.74,25.38,0.28,0.12,0.42857142857142855,-6.207074636295151
gppo_event_single_head,3x16,5,100,18.734823440594088,0.9411274509803921,0.739281045751634,0.02,4.31,0.9407692307692307,0.19,19.77,25.44,0.31,0.14,0.45161290322580644,-6.333790835577666
gppo_event_single_head,3x20,1,100,22.775607073072695,0.9342364953886693,0.8114217014869187,0.12,3.92,0.9322222222222224,0.56,23.79,28.24,0.29,0.13,0.4482758620689655,-10.089163396239512
